add a http sampler,org.apache.jmeter.protocol.http.sampler.HTTPSamplerProxy,org.apache.jmeter.protocol.http.control.gui.HttpTestSampleGui,5.4.3,FALSE
add a ftp request,org.apache.jmeter.protocol.ftp.sampler.FTPSampler,org.apache.jmeter.protocol.ftp.control.gui.FtpTestSamplerGui,5.4.3,FALSE
add a http request,org.apache.jmeter.protocol.http.sampler.HTTPSamplerProxy,org.apache.jmeter.protocol.http.control.gui.HttpTestSampleGui,5.4.3,FALSE
add a jdbc request,org.apache.jmeter.protocol.jdbc.sampler.JDBCSampler,org.apache.jmeter.testbeans.gui.TestBeanGUI,5.4.3,FALSE
add a java request,org.apache.jmeter.protocol.java.sampler.JavaSampler,org.apache.jmeter.protocol.java.control.gui.JavaTestSamplerGui,5.4.3,FALSE
add a ldap request,org.apache.jmeter.protocol.ldap.sampler.LDAPSampler,org.apache.jmeter.protocol.ldap.control.gui.LdapTestSamplerGui,5.4.3,FALSE
add a ldap extended request,org.apache.jmeter.protocol.ldap.sampler.LDAPExtSampler,org.apache.jmeter.protocol.ldap.control.gui.LdapExtTestSamplerGui,5.4.3,FALSE
add a access log sampler,org.apache.jmeter.protocol.http.sampler.AccessLogSampler,org.apache.jmeter.testbeans.gui.TestBeanGUI,5.4.3,FALSE
add a beanshell sampler,org.apache.jmeter.protocol.java.sampler.BeanShellSampler,org.apache.jmeter.protocol.java.control.gui.BeanShellSamplerGui,5.4.3,FALSE
add a jsr223 sampler,org.apache.jmeter.protocol.java.sampler.JSR223Sampler,org.apache.jmeter.testbeans.gui.TestBeanGUI,5.4.3,FALSE
add a tcp sampler,org.apache.jmeter.protocol.tcp.sampler.TCPSampler,org.apache.jmeter.protocol.tcp.control.gui.TCPSamplerGui,5.4.3,FALSE
add a jms publisher,org.apache.jmeter.protocol.jms.sampler.PublisherSampler,org.apache.jmeter.protocol.jms.control.gui.JMSPublisherGui,5.4.3,FALSE
add a jms subscriber,org.apache.jmeter.protocol.jms.sampler.SubscriberSampler,org.apache.jmeter.protocol.jms.control.gui.JMSSubscriberGui,5.4.3,FALSE
add a jms point to point,org.apache.jmeter.protocol.jms.sampler.JMSSampler,org.apache.jmeter.protocol.jms.control.gui.JMSSamplerGui,5.4.3,FALSE
